subject,predicate,object,src_url
38e05bf0,defines,언어 요소,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,사회 성별 계층,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,용역 맥락,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,대화 표준 변칙,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,특정 화자 주민,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,정의 리기,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,공통 상당 부분,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,명칭 권력,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,서로 근본 차이,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,하나,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,연구 일반인,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,규정 시도,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,가장,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,일종 언어 간주,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,언어 구술 기반,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,언어 어족 힌디어,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,defines,거리 어족 거나,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,example_of,독일어 간주,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
38e05bf0,subtype_of,구분 기준,https://ko.wikipedia.org/wiki/%EB%B0%A9%EC%96%B8
