subject,predicate,object
18,의존트리깊이,0.0
19,어휘다양성,0.8824
19,오타율,0.8235
19,수동태사용,0
19,정중체사용,0
19,구어체종결어미,0
19,접속사과다,0
19,의문문사용,0
19,감탄문사용,0
19,POS3gram,NOUN-ADV-VERB:2
19,POS3gram,PROPN-NOUN-PROPN:1
19,POS3gram,NOUN-PROPN-PROPN:1
19,의존트리깊이,0.0
20,어휘다양성,1.0
20,오타율,0.75
20,수동태사용,0
20,정중체사용,0
20,구어체종결어미,0
20,접속사과다,0
20,의문문사용,0
20,감탄문사용,0
20,POS3gram,ADV-ADV-NOUN:1
20,POS3gram,ADV-NOUN-NOUN:1
20,의존트리깊이,0.0
21,어휘다양성,1.0
21,오타율,1.0
21,수동태사용,0
21,정중체사용,0
21,구어체종결어미,0
21,접속사과다,0
21,의문문사용,0
21,감탄문사용,0
21,POS3gram,ADV-NOUN-VERB:1
21,의존트리깊이,0.0
22,어휘다양성,0.7812
22,오타율,0.6562
22,수동태사용,0
22,정중체사용,0
22,구어체종결어미,0
22,접속사과다,0
22,의문문사용,0
22,감탄문사용,0
22,POS3gram,NOUN-PUNCT-PROPN:3
22,POS3gram,PUNCT-PROPN-PUNCT:3
22,POS3gram,PUNCT-CCONJ-NOUN:2
22,의존트리깊이,0.0
23,어휘다양성,0.8889
23,오타율,0.8889
23,수동태사용,0
23,정중체사용,0
23,구어체종결어미,0
23,접속사과다,0
23,의문문사용,0
23,감탄문사용,0
23,POS3gram,CCONJ-DET-ADV:1
23,POS3gram,DET-ADV-NOUN:1
23,POS3gram,ADV-NOUN-VERB:1
23,의존트리깊이,0.0
24,어휘다양성,1.0
24,오타율,1.0
24,수동태사용,0
24,정중체사용,0
24,구어체종결어미,0
24,접속사과다,0
24,의문문사용,0
24,감탄문사용,0
24,POS3gram,NOUN-CCONJ-VERB:1
24,의존트리깊이,0.0
25,어휘다양성,1.0
25,오타율,1.0
25,수동태사용,0
25,정중체사용,0
25,구어체종결어미,0
25,접속사과다,0
25,의문문사용,0
25,감탄문사용,0
25,POS3gram,VERB-ADV-VERB:2
25,POS3gram,NOUN-NOUN-CCONJ:1
25,POS3gram,NOUN-CCONJ-NOUN:1
25,의존트리깊이,0.0
26,어휘다양성,0.88
26,오타율,0.64
26,수동태사용,0
26,정중체사용,0
26,구어체종결어미,0
26,접속사과다,0
26,의문문사용,0
26,감탄문사용,0
26,POS3gram,PUNCT-PROPN-PUNCT:2
26,POS3gram,VERB-NOUN-ADV:1
26,POS3gram,NOUN-ADV-NOUN:1
26,의존트리깊이,0.0
27,어휘다양성,0.963
27,오타율,0.963
27,수동태사용,0
27,정중체사용,0
27,구어체종결어미,0
27,접속사과다,0
27,의문문사용,0
27,감탄문사용,0
27,POS3gram,CCONJ-NOUN-ADV:2
27,POS3gram,ADV-VERB-NOUN:2
27,POS3gram,VERB-NOUN-VERB:2
27,의존트리깊이,0.0
28,어휘다양성,0.7273
28,오타율,0.1818
28,수동태사용,0
28,정중체사용,0
28,구어체종결어미,0
28,접속사과다,0
28,의문문사용,0
28,감탄문사용,0
28,POS3gram,PUNCT-X-PUNCT:2
28,POS3gram,PUNCT-PROPN-PUNCT:1
28,POS3gram,PROPN-PUNCT-PUNCT:1
28,의존트리깊이,0.0
29,어휘다양성,0.8261
29,오타율,0.6522
29,수동태사용,0
29,정중체사용,0
29,구어체종결어미,0
29,접속사과다,0
29,의문문사용,0
29,감탄문사용,0
29,POS3gram,NOUN-NOUN-PUNCT:2
29,POS3gram,NOUN-PUNCT-X:1
29,POS3gram,PUNCT-X-PUNCT:1
29,의존트리깊이,0.0
30,어휘다양성,1.0
30,오타율,1.0
30,수동태사용,0
30,정중체사용,0
30,구어체종결어미,0
30,접속사과다,0
30,의문문사용,0
30,감탄문사용,0
30,POS3gram,ADV-NOUN-VERB:1
30,의존트리깊이,0.0
31,어휘다양성,0.8462
31,오타율,0.5385
31,수동태사용,0
31,정중체사용,0
31,구어체종결어미,0
31,접속사과다,0
31,의문문사용,0
31,감탄문사용,0
31,POS3gram,NUM-PROPN-NUM:2
31,POS3gram,CCONJ-NOUN-NOUN:1
31,POS3gram,NOUN-NOUN-ADV:1
31,의존트리깊이,0.0
32,어휘다양성,0.85
32,오타율,0.75
32,수동태사용,0
32,정중체사용,0
32,구어체종결어미,0
32,접속사과다,0
32,의문문사용,0
32,감탄문사용,0
32,POS3gram,NOUN-PROPN-PUNCT:1
32,POS3gram,PROPN-PUNCT-X:1
32,POS3gram,PUNCT-X-PUNCT:1
32,의존트리깊이,0.0
33,어휘다양성,1.0
33,오타율,1.0
33,수동태사용,0
33,정중체사용,0
33,구어체종결어미,0
33,접속사과다,0
33,의문문사용,0
33,감탄문사용,0
33,POS3gram,NOUN-SCONJ-NOUN:2
33,POS3gram,SCONJ-NOUN-ADV:2
33,POS3gram,NOUN-ADV-VERB:1
33,의존트리깊이,0.0
34,어휘다양성,1.0
34,오타율,1.0
34,수동태사용,0
34,정중체사용,0
34,구어체종결어미,0
34,접속사과다,0
34,의문문사용,0
34,감탄문사용,0
34,POS3gram,ADV-SCONJ-NOUN:1
34,POS3gram,SCONJ-NOUN-NOUN:1
34,POS3gram,NOUN-NOUN-CCONJ:1
34,의존트리깊이,0.0
35,어휘다양성,0.8333
35,오타율,0.8333
35,수동태사용,0
35,정중체사용,0
35,구어체종결어미,0
35,접속사과다,0
35,의문문사용,0
35,감탄문사용,0
35,POS3gram,NOUN-NOUN-NOUN:1
35,POS3gram,NOUN-NOUN-VERB:1
35,POS3gram,NOUN-VERB-CCONJ:1
35,의존트리깊이,0.0
36,어휘다양성,1.0
36,오타율,1.0
36,수동태사용,0
36,정중체사용,0
36,구어체종결어미,0
36,접속사과다,0
36,의문문사용,0
36,감탄문사용,0
36,POS3gram,NOUN-NOUN-NOUN:1
36,POS3gram,NOUN-NOUN-VERB:1
36,의존트리깊이,0.0
37,어휘다양성,1.0
37,오타율,1.0
37,수동태사용,0
37,정중체사용,0
37,구어체종결어미,0
37,접속사과다,0
37,의문문사용,0
37,감탄문사용,0
37,POS3gram,PROPN-NOUN-NOUN:1
37,의존트리깊이,0.0
